CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100)
1,Male,0.019230769230769273,0.0,0.3877551020408163
2,Male,0.05769230769230771,0.0,0.8163265306122449
3,Female,0.03846153846153849,0.008196721311475363,0.05102040816326536
4,Female,0.0961538461538462,0.008196721311475363,0.7755102040816326
5,Female,0.25,0.016393442622950782,0.3979591836734694
6,Female,0.07692307692307693,0.016393442622950782,0.7653061224489796
7,Female,0.326923076923077,0.0245901639344262,0.05102040816326536
8,Female,0.0961538461538462,0.0245901639344262,0.9489795918367346
9,Male,0.8846153846153847,0.03278688524590162,0.020408163265306145
10,Female,0.23076923076923078,0.03278688524590162,0.7244897959183674
11,Male,0.9423076923076925,0.03278688524590162,0.13265306122448978
12,Female,0.326923076923077,0.03278688524590162,1.0
13,Female,0.7692307692307694,0.040983606557376984,0.1428571428571429
14,Female,0.11538461538461542,0.040983606557376984,0.7755102040816326
15,Male,0.3653846153846154,0.040983606557376984,0.12244897959183676
16,Male,0.07692307692307693,0.040983606557376984,0.7959183673469388
17,Female,0.326923076923077,0.04918032786885246,0.3469387755102041
18,Male,0.03846153846153849,0.04918032786885246,0.6632653061224489
19,Male,0.653846153846154,0.06557377049180324,0.2857142857142857
20,Female,0.326923076923077,0.06557377049180324,0.9897959183673468
21,Male,0.326923076923077,0.07377049180327866,0.3469387755102041
22,Male,0.13461538461538464,0.07377049180327866,0.7346938775510203
23,Female,0.5384615384615385,0.08196721311475408,0.040816326530612235
24,Male,0.25,0.08196721311475408,0.7346938775510203
25,Female,0.6923076923076923,0.10655737704918034,0.13265306122448978
26,Male,0.21153846153846156,0.10655737704918034,0.8265306122448979
27,Female,0.5192307692307693,0.10655737704918034,0.3163265306122449
28,Male,0.326923076923077,0.10655737704918034,0.6122448979591837
29,Female,0.42307692307692313,0.1147540983606557,0.30612244897959184
30,Female,0.0961538461538462,0.1147540983606557,0.8775510204081632
31,Male,0.8076923076923077,0.12295081967213112,0.030612244897959218
32,Female,0.05769230769230771,0.12295081967213112,0.7346938775510203
33,Male,0.6730769230769231,0.14754098360655735,0.030612244897959218
34,Male,0.0,0.14754098360655735,0.9285714285714286
35,Female,0.5961538461538463,0.14754098360655735,0.13265306122448978
36,Female,0.05769230769230771,0.14754098360655735,0.8163265306122449
37,Female,0.46153846153846156,0.15573770491803277,0.163265306122449
38,Female,0.23076923076923078,0.15573770491803277,0.7346938775510203
39,Female,0.3461538461538462,0.18032786885245897,0.25510204081632654
40,Female,0.03846153846153849,0.18032786885245897,0.7551020408163265
41,Female,0.903846153846154,0.18852459016393439,0.3469387755102041
42,Male,0.11538461538461542,0.18852459016393439,0.9285714285714286
43,Male,0.576923076923077,0.1967213114754098,0.35714285714285715
44,Female,0.25,0.1967213114754098,0.6122448979591837
45,Female,0.5961538461538463,0.1967213114754098,0.2755102040816327
46,Female,0.11538461538461542,0.1967213114754098,0.6530612244897959
47,Female,0.6153846153846154,0.2049180327868852,0.5510204081632653
48,Female,0.1730769230769231,0.2049180327868852,0.4693877551020408
49,Female,0.21153846153846156,0.2049180327868852,0.41836734693877553
50,Female,0.25,0.2049180327868852,0.41836734693877553
51,Female,0.5961538461538463,0.22131147540983603,0.5204081632653061
52,Male,0.2884615384615385,0.22131147540983603,0.6020408163265306
53,Female,0.25,0.22950819672131145,0.5408163265306123
54,Male,0.7884615384615385,0.22950819672131145,0.6020408163265306
55,Female,0.6153846153846154,0.22950819672131145,0.4489795918367347
56,Male,0.5576923076923077,0.22950819672131145,0.40816326530612246
